source_row_number,field_name,issue_code,raw_value,detail
765,School,school_missing,,School is blank in the source export
765,School,school_missing_undergraduate,,School is blank for an undergraduate application
772,Mother Income Document,parent_income_unparsed,NSSF,Could not confidently parse a numeric amount
772,Mother Income Document,parent_income_needs_review,NSSF,unparsed_text
776,Loans,likely_lbp_without_currency_marker,"Reason: House Loan
Source: Bank
Mortgaged Asset: Unknown
Start Date: 2015-08-24
End Date: 2026-08-24
Total Amount: 209000000
Monthly Payment: 1850000
Remaining Balance: 37000000
Remaining Years: 1.5",loans_total_amount=209000000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
781,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
781,School,school_missing,,School is blank in the source export
785,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
791,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
791,School,school_missing,,School is blank in the source export
793,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
793,School,school_missing,,School is blank in the source export
794,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
794,School,school_missing,,School is blank in the source export
794,School,school_missing_undergraduate,,School is blank for an undergraduate application
801,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
802,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
802,School,school_missing,,School is blank in the source export
802,Loans,large_monetary_value_review,"Reason: House purchase
Source: BLC bank
Mortgaged Asset: nothing, it is Iskan loan
Start Date: 2015-12-26
End Date: 2027-10-31
Total Amount: 130,000,000 L.L
Monthly Payment: 991,711 L.L
Remaining Balance: 40,000,000
Remaining Years: 3",loans_total_amount=130000000.0; currency_signal=lbp; currency_guess=lbp
803,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
803,School,school_missing,,School is blank in the source export
811,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
811,School,school_missing,,School is blank in the source export
811,Applicant Work Status,likely_lbp_without_currency_marker,"Employed In: Private Sector
Position: Civil Engineer
Institution or Employer's Name: Dar Al-Handasah
Annual Income 1,332,737
Educational Benefits: 0
Accomodation: 0
Commission: 0
Bonuses: 0
Other Benefits: 0",applicant_annual_income=1332737.0; currency_signal=none; currency_guess=likely_lbp_unmarked
812,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
825,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
825,School,school_missing,,School is blank in the source export
826,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
826,School,school_missing,,School is blank in the source export
827,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
827,School,school_missing,,School is blank in the source export
827,School,school_missing_undergraduate,,School is blank for an undergraduate application
828,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
828,School,school_missing,,School is blank in the source export
832,Loans,mixed_currency_signal,"Reason: buy an appartment
Source: UNRWA
Mortgaged Asset: YES
Start Date: 2016-10-01
End Date: 2026-11-01
Total Amount: 10000
Monthly Payment: 82.92 $
Remaining Balance: 876.64 $
Remaining Years: 1

Reason: buy an appartment
Source: Lebanese
Mortgaged Asset: Yes
Start Date: 2016-11-10
End Date: 2036-10-10
Total Amount: 78000000 LL
Monthly Payment: 650000 LL
Remaining Balance: 30000000
Remaining Years: 11",Contains both USD and LBP/L.L. markers
832,Over and Above - Percentage Awarded,merit_plus_over_and_above_exceeds_50_rule,35,merit_pct=25.0; over_and_above_pct=35.0
833,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
833,School,school_missing,,School is blank in the source export
834,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
834,School,school_missing,,School is blank in the source export
838,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
839,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
839,School,school_missing,,School is blank in the source export
846,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
846,School,school_missing,,School is blank in the source export
846,Father Income Document,likely_lbp_without_currency_marker,1200000,father_income_document=1200000.0; currency_signal=none; currency_guess=likely_lbp_unmarked
848,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
848,School,school_missing,,School is blank in the source export
852,Application Type,application_type_inferred_from_level,,Derived from level 'Professional'
852,School,school_missing,,School is blank in the source export
854,Application Type,application_type_inferred_from_level,,Derived from level 'Undergraduate'
854,School,school_missing,,School is blank in the source export
854,School,school_missing_undergraduate,,School is blank for an undergraduate application
855,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'incomplete'
860,Application Type,application_type_inferred_from_level,,Derived from level 'Graduate'
860,School,school_missing,,School is blank in the source export
863,Decision,decision_missing_with_bin_status,,Decision is blank while Bin contains 'committee_early_applications'
